ID,command,encrypted_cmd
15,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
15,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
16,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
17,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
18,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
19,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
20,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
20,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
21,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
22,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
23,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
24,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
24,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
25,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
26,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
27,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
28,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
28,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
30,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
30,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
31,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
32,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
33,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
34,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
34,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
35,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
36,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
37,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
38,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
39,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
40,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
41,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
42,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
43,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
43,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
45,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
45,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
46,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
48,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
48,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
49,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
50,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
51,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
52,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
53,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
54,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
55,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
55,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
57,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
57,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
58,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
59,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
60,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
