name,count,avg_s,median_s,p10_s,p90_s
4Mbit_Loss0_Fortnite,27,0.06430660025925951,0.07232692199999846,0.013176612600003069,0.11040424040000049
4Mbit_Loss1_Fortnite,76,0.061173032986841916,0.05585784499999935,0.015620311999999359,0.10930588150000009
