Max PS,Min PS,Number of Packets,Frame Size (Byte),IFI (ns),SEQ Number,Timestamp,RTP FPS
0,0,0,0,0,26042,3614361243,0
1442,367,33,45125,36750317.000000000,26075,3614364781,25.438100621820237
1442,148,35,47790,31067666.000000000,26110,3614367812,29.69317057076872
1442,1318,32,44634,55226396.000000000,26142,3614372624,18.703241895261847
1442,198,34,46398,48566918.000000000,26176,3614376948,20.814061054579092
1442,1217,35,48859,92741617.000000000,26211,3614383644,13.440860215053764
1442,642,66,92986,57804206.000000000,26277,3614389034,16.697588126159555
1442,678,56,78602,51150822.000000000,26333,3614394740,15.772870662460567
1442,711,27,36817,37647860.000000000,26360,3614398497,23.955283470854404
1442,932,29,39922,61798440.000000000,26389,3614403162,19.292604501607716
1442,937,94,130913,52256092.000000000,26483,3614408243,17.71304861247786
1442,579,36,49663,50620201.000000000,26519,3614412863,19.48051948051948
1442,1432,40,56284,55644855.000000000,26559,3614417043,21.5311004784689
1442,61,39,53471,44019743.000000000,26598,3614422115,17.744479495268138
1442,110,40,54962,44634663.000000000,26638,3614426385,21.07728337236534
1442,600,31,42474,60196191.000000000,26669,3614431389,17.985611510791365
1442,1151,24,32931,44287489.000000000,26693,3614435568,21.536252692031585
1442,746,22,29642,51373751.000000000,26715,3614440175,19.535489472541784
1442,1036,26,35700,51341643.000000000,26741,3614444756,19.64636542239686
1442,657,23,30995,47964483.000000000,26764,3614449267,19.951230325870096
1442,880,75,103458,53177000.000000000,26839,3614453679,20.398912058023573
1442,887,10,12479,44255096.000000000,26849,3614458208,19.87193640980349
1442,862,16,21106,45863743.000000000,26865,3614462239,22.32696601339618
1442,951,21,28405,52798979.000000000,26886,3614467089,18.556701030927837
1442,83,20,26095,51799198.000000000,26906,3614471486,20.468501250852853
1442,629,24,32409,48252363.000000000,26930,3614475919,20.302278366794496
1442,364,22,29260,44013274.000000000,26952,3614480091,21.572387344199424
1442,996,24,32776,51096838.000000000,26976,3614484255,21.613832853025936
1442,179,28,37727,51933854.000000000,27004,3614489224,18.112296236667337
1442,645,19,25215,50155060.000000000,27023,3614493739,19.93355481727575
1442,1166,90,125374,55495451.000000000,27113,3614498086,20.70393374741201
1442,290,12,14766,44267735.000000000,27125,3614502701,19.501625135427954
1442,575,18,23703,45504081.000000000,27143,3614507112,20.40353661301292
1442,284,20,26296,54340736.000000000,27163,3614511713,19.56096500760704
1442,310,25,33532,48880981.000000000,27188,3614516015,20.92050209205021
1442,508,21,27962,52891105.000000000,27209,3614520483,20.143240823634734
1442,708,28,38256,38546288.000000000,27237,3614524565,22.04801567858893
1442,1204,24,32984,57313947.000000000,27261,3614529119,19.76284584980237
1442,131,21,27585,46978852.000000000,27282,3614533659,19.823788546255507
1442,1052,22,29948,47177783.000000000,27304,3614538209,19.78021978021978
1442,703,103,143657,56416030.00000000,27407,3614542769,19.736842105263158
1442,1054,10,12646,48044191.000000000,27417,3614547291,19.902697921273774
1442,461,16,20705,47155114.000000000,27433,3614551246,22.75600505689001
1442,1213,21,28667,46920350.000000000,27454,3614555956,19.10828025477707
1442,312,25,33534,46094062.000000000,27479,3614560328,20.585544373284538
1442,812,25,34034,54766702.000000000,27504,3614564806,20.098258150960252
1442,1288,26,35952,53429202.000000000,27530,3614569689,18.431292238378045
1442,860,27,36966,56481546.000000000,27557,3614574498,18.714909544603866
1442,1368,31,43242,53761621.000000000,27588,3614579248,18.94736842105263
1442,1340,28,38888,51785131.000000000,27616,3614584071,18.660584698320548
1442,345,111,154835,48337411.000000000,27727,3614588240,21.58791076996882
