No.,time,src,dst,src_port,dst_port,Marker,RTP_seq,RTP_Timestamp
1,0,d2:bf:ed:1b:b8:77,Broadcast,,,,,
2,0.000017,02:f2:3f:60:e4:78,d2:bf:ed:1b:b8:77,,,,,
3,0.000488,10.0.0.1,10.0.0.2,5000,5002,False,23268,3799104933
4,0.000509,10.0.0.1,10.0.0.2,5000,5002,False,23269,3799104933
5,0.000513,10.0.0.1,10.0.0.2,5000,5002,False,23270,3799104933
6,0.000516,10.0.0.1,10.0.0.2,5000,5002,False,23271,3799104933
7,0.000519,10.0.0.1,10.0.0.2,5000,5002,False,23272,3799104933
8,0.000526,10.0.0.1,10.0.0.2,5000,5002,False,23273,3799104933
9,0.000529,10.0.0.1,10.0.0.2,5000,5002,False,23274,3799104933
10,0.000534,10.0.0.1,10.0.0.2,5000,5002,False,23275,3799104933
11,0.000537,10.0.0.1,10.0.0.2,5000,5002,False,23276,3799104933
12,0.000542,10.0.0.1,10.0.0.2,5000,5002,False,23277,3799104933
13,0.000545,10.0.0.1,10.0.0.2,5000,5002,False,23278,3799104933
14,0.00055,10.0.0.1,10.0.0.2,5000,5002,False,23279,3799104933
15,0.000553,10.0.0.1,10.0.0.2,5000,5002,False,23280,3799104933
16,0.000566,10.0.0.1,10.0.0.2,5000,5002,False,23281,3799104933
17,0.00057,10.0.0.1,10.0.0.2,5000,5002,False,23282,3799104933
18,0.000575,10.0.0.1,10.0.0.2,5000,5002,False,23283,3799104933
19,0.000578,10.0.0.1,10.0.0.2,5000,5002,False,23284,3799104933
20,0.000595,10.0.0.1,10.0.0.2,5000,5002,False,23285,3799104933
21,0.000609,10.0.0.1,10.0.0.2,5000,5002,False,23286,3799104933
22,0.000616,10.0.0.1,10.0.0.2,5000,5002,False,23287,3799104933
23,0.000618,10.0.0.1,10.0.0.2,5000,5002,False,23288,3799104933
24,0.00062,10.0.0.1,10.0.0.2,5000,5002,False,23289,3799104933
25,0.000621,10.0.0.1,10.0.0.2,5000,5002,False,23290,3799104933
26,0.000623,10.0.0.1,10.0.0.2,5000,5002,False,23291,3799104933
27,0.000625,10.0.0.1,10.0.0.2,5000,5002,False,23292,3799104933
28,0.000627,10.0.0.1,10.0.0.2,5000,5002,False,23293,3799104933
29,0.000628,10.0.0.1,10.0.0.2,5000,5002,False,23294,3799104933
30,0.00063,10.0.0.1,10.0.0.2,5000,5002,False,23295,3799104933
31,0.000632,10.0.0.1,10.0.0.2,5000,5002,False,23296,3799104933
32,0.000634,10.0.0.1,10.0.0.2,5000,5002,False,23297,3799104933
33,0.000635,10.0.0.1,10.0.0.2,5000,5002,False,23298,3799104933
34,0.000638,10.0.0.1,10.0.0.2,5000,5002,False,23299,3799104933
35,0.000639,10.0.0.1,10.0.0.2,5000,5002,False,23300,3799104933
36,0.000642,10.0.0.1,10.0.0.2,5000,5002,False,23301,3799104933
